id,joke
0189hNRf2g,I'm tired of following my dreams. I'm just going to ask them where they are going and meet up with them later.
08EQZ8EQukb,Did you hear about the guy whose whole left side was cut off? He's all right now.
08xHQCdx5Ed,Why didn’t the skeleton cross the road? Because he had no guts.
0DQKB51oGlb,What did one nut say as he chased another nut?  I'm a cashew!
0DdFQZgyXnb,Where do fish keep their money? In the riverbank
0DdaxAX0orc,I accidentally took my cats meds last night. Don’t ask meow.
0DtrrOZDlyd,"Chances are if you' ve seen one shopping center, you've seen a mall."
0L6MexPukjb,Dermatologists are always in a hurry. They spend all day making rash decisions. 
0LuXvkq4Muc,"I knew I shouldn't steal a mixer from work, but it was a whisk I was willing to take."
0gFdFBsWDd,I won an argument with a weather forecaster once. His logic was cloudy...
0ga2EdN7prc,How come the stadium got hot after the game? Because all of the fans left.
0ga2wsPZgib,"""Why do seagulls fly over the ocean?"" ""Because if they flew over the bay, we'd call them bagels."""
0oO71TSv4Ed,Why was it called the dark ages? Because of all the knights. 
0oz51ozk3ob,A steak pun is a rare medium well done.
0ozAXv4Mmjb,Why did the tomato blush? Because it saw the salad dressing.
0wcFBQfiGBd,Did you hear the joke about the wandering nun? She was a roman catholic.
189xHQ7pOuc,What creature is smarter than a talking parrot? A spelling bee.
18Elj3EIYvc,I'll tell you what often gets over looked... garden fences.
18h3wcU8xAd,Why did the kid cross the playground? To get to the other slide.
1DIRSfx51Dd,Why do birds fly south for the winter? Because it's too far to walk.
